"id","priority","phase","module","area","task_type","title","description","acceptance_criteria","val_command","dependencies","estimated_hours","assigned_agent","attempts","started_at_commit","dev_state","test_state","review_state","git_state","refs","notes"
"PH02-010","P0","2","crm-contract","both","database","CRM/Contract baseline migration","Apply V3 migration for customer_lead employer_unit labor_contract settlement_rule","Migration is idempotent and required tables indexes constraints exist","powershell -ExecutionPolicy Bypass -File scripts/validation/PH02-010.ps1","","2","codex","1","d69d9e227f459244d4a48501d83456dac7f6b7b6","已完成","已完成","未开始","已提交","src/backend/src/main/resources/db/migration","started_at:2026-02-26T22:01:12+08:00;validation_adjusted:docker-mysql;done_at:2026-02-26T22:03:40+08:00;val:powershell-PH02-010"
"PH02-020","P0","2","crm-contract","both","docs","Sync DB schema doc for Phase 02","Update docs/database-schema.md to match V3 migration changes","Schema doc aligns with migration and local verification","rg -n \"customer_lead|employer_unit|labor_contract|settlement_rule\" docs/database-schema.md","PH02-010","1","codex","1","d69d9e227f459244d4a48501d83456dac7f6b7b6","已完成","已完成","未开始","已提交","docs/database-schema.md","started_at:2026-02-26T22:03:52+08:00;done_at:2026-02-26T22:05:08+08:00;val:rg-phase02-schema"
"PH02-030","P0","2","crm-lead","backend","backend","实现客户线索管理 API","实现线索创建 查询 更新 删除与基础校验","线索 CRUD 可用并返回统一错误码","mvn -B -f src/backend/pom.xml test -Dtest=LeadControllerTest","PH02-010","3","codex","1","d3790b8401cad0958c293b3878ebd78c89e4a60e","已完成","已完成","未开始","已提交","src/backend/src/main/java/com/labor/system/crm","started_at:2026-02-26T22:14:30+08:00;done_at:2026-02-26T22:22:06+08:00;val:mvn-test-LeadControllerTest"
"PH02-040","P0","2","crm-lead","backend","backend","实现线索状态流转与跟进记录能力","实现线索状态机转换 跟进记录写入与查询","非法状态流转被拒绝 且跟进记录可按线索查询","mvn -B -f src/backend/pom.xml test -Dtest=LeadFlowServiceTest","PH02-030","2","codex","1","1aa1e01ae55a0975bc14d9a594c73367578bdb2a","已完成","已完成","未开始","已提交","src/backend/src/main/java/com/labor/system/crm","started_at:2026-02-26T22:26:10+08:00;done_at:2026-02-26T22:34:58+08:00;val:mvn-test-LeadFlowServiceTest"
"PH02-050","P1","2","crm-lead","backend","test-unit","补充线索服务单元测试","覆盖线索状态流转和跟进记录边界场景","线索服务核心分支覆盖率达标","mvn -B -f src/backend/pom.xml test -Dtest=LeadServiceTest","PH02-030;PH02-040","1.5","codex","1","03fee6de55b03cb5118b59d3e9f87ff8e170a804","已完成","已完成","未开始","已提交","src/backend/src/test/java/com/labor/system/crm","started_at:2026-02-26T22:36:05+08:00;done_at:2026-02-26T22:37:10+08:00;val:mvn-test-LeadServiceTest"
"PH02-060","P0","2","crm-lead-ui","frontend","frontend","实现线索列表与筛选页面","实现线索列表 筛选 分页和新建入口","线索页面可筛选并显示分页结果","npm --prefix src/frontend run test -- --testPathPattern=lead-list","PH02-030","2","gemini","0","","未开始","未开始","未开始","未提交","src/frontend/src/views/crm","gemini_route:primary"
"PH02-070","P0","2","crm-lead-ui","frontend","frontend","实现线索详情与跟进时间线页面","实现线索详情展示 跟进记录列表和新增交互","线索详情可展示时间线并新增跟进记录","npm --prefix src/frontend run test -- --testPathPattern=lead-detail","PH02-040;PH02-060","2","gemini","0","","未开始","未开始","未开始","未提交","src/frontend/src/views/crm","gemini_route:primary"
"PH02-080","P1","2","crm-lead-ui","frontend","test-unit","补充线索前端单元测试","覆盖筛选交互 详情渲染 跟进表单校验","线索前端单元测试通过并输出覆盖率","npm --prefix src/frontend run test -- --coverage --testPathPattern=lead","PH02-060;PH02-070","1","gemini","0","","未开始","未开始","未开始","未提交","src/frontend/tests/unit","gemini_route:primary"
"PH02-090","P0","2","crm-lead","both","test-integration","线索接口集成测试","验证线索创建 状态流转 跟进查询链路","线索核心接口联动测试全部通过","mvn -B -f src/backend/pom.xml verify -Dtest=LeadApiIntegrationTest","PH02-030;PH02-040","1.5","codex","1","20d57793cda9de34afab5473d355bb60026d78ca","已完成","已完成","未开始","已提交","src/backend/src/test/java/com/labor/system/crm/integration","started_at:2026-02-26T22:38:20+08:00;done_at:2026-02-26T22:39:34+08:00;val:mvn-verify-LeadApiIntegrationTest"
"PH02-100","P1","2","crm-lead","both","test-e2e","线索流转端到端测试","从线索创建到状态更新执行端到端验证","线索主用户故事可端到端通过","npx --yes playwright test src/frontend/tests/e2e/lead-flow.spec.ts","PH02-070;PH02-090","1.5","codex","0","","未开始","未开始","未开始","未提交","src/frontend/tests/e2e",""
"PH02-110","P1","2","crm-lead","both","docs","更新线索 API 合约文档","同步线索与跟进接口请求响应定义","API 文档覆盖线索核心接口字段","rg -n \"/crm/leads|lead-follow-up\" docs/api-contracts.md","PH02-030;PH02-040","1","codex","0","","未开始","未开始","未开始","未提交","docs/api-contracts.md",""
"PH02-120","P0","2","crm-employer","backend","backend","实现用工单位管理 API","实现用工单位创建 查询 更新 停用接口","用工单位 CRUD 和状态变更可用","mvn -B -f src/backend/pom.xml test -Dtest=EmployerUnitControllerTest","PH02-010","2.5","codex","1","3106f0b27fbc6d06a36fea4ac24241511f0b03cd","已完成","已完成","未开始","已提交","src/backend/src/main/java/com/labor/system/crm","started_at:2026-02-26T22:40:50+08:00;done_at:2026-02-26T22:43:53+08:00;val:mvn-test-EmployerUnitControllerTest"
"PH02-130","P0","2","contract","backend","backend","实现合同生命周期 API","实现合同创建 签署 续签 终止接口和规则校验","合同生命周期状态机按规则执行","mvn -B -f src/backend/pom.xml test -Dtest=LaborContractControllerTest","PH02-010;PH02-120","3","codex","1","e1a52ecb298344548f37665f8b4e9d2291da462f","已完成","已完成","未开始","已提交","src/backend/src/main/java/com/labor/system/contract","started_at:2026-02-26T22:45:40+08:00;done_at:2026-02-26T22:48:34+08:00;val:mvn-test-LaborContractControllerTest"
"PH02-140","P0","2","contract-rule","backend","backend","实现结算规则版本管理 API","实现规则创建 发布 停用和版本查询能力","规则版本唯一性约束生效且可回溯","mvn -B -f src/backend/pom.xml test -Dtest=SettlementRuleControllerTest","PH02-010;PH02-130","2.5","codex","1","15acb877f2ea449427fc61d2cd44918299693344","已完成","已完成","未开始","已提交","src/backend/src/main/java/com/labor/system/contract","started_at:2026-02-26T22:56:12+08:00;done_at:2026-02-26T23:04:34+08:00;val:mvn-test-SettlementRuleControllerTest"
"PH02-150","P1","2","crm-contract-ui","frontend","frontend","实现用工单位与合同列表页面骨架","创建单位列表与合同列表页面及导航入口","单位与合同页面可访问并展示基础表格","npm --prefix src/frontend run test -- --testPathPattern=employer-contract-shell","PH02-120;PH02-130","2","gemini","0","","未开始","未开始","未开始","未提交","src/frontend/src/views/crm;src/frontend/src/views/contract","gemini_route:primary"
"PH02-160","P1","2","contract-ui","frontend","frontend","实现合同详情与生命周期操作页面","实现合同详情展示与签署续签终止操作交互","合同详情页可执行生命周期操作并反馈结果","npm --prefix src/frontend run test -- --testPathPattern=contract-detail","PH02-130;PH02-150","2","gemini","0","","未开始","未开始","未开始","未提交","src/frontend/src/views/contract","gemini_route:primary"
"PH02-170","P1","2","contract-rule","backend","test-unit","补充合同与规则服务单元测试","覆盖合同状态机和规则版本校验边界场景","合同与规则服务测试通过且覆盖核心分支","mvn -B -f src/backend/pom.xml test -Dtest=ContractRuleServiceTest","PH02-130;PH02-140","1.5","codex","1","731b0e514d0b5e25f518ed695aee843f6d02f4d2","已完成","已完成","未开始","已提交","src/backend/src/test/java/com/labor/system/contract/service","started_at:2026-02-27T06:23:40+08:00;done_at:2026-02-27T06:26:07+08:00;val:mvn-test-ContractRuleServiceTest"
"PH02-180","P2","2","contract-ui","frontend","test-unit","补充合同与规则前端单元测试","覆盖合同详情操作交互和规则版本渲染","合同规则前端单元测试通过","npm --prefix src/frontend run test -- --coverage --testPathPattern=contract-rule","PH02-150;PH02-160","1","gemini","0","","未开始","未开始","未开始","未提交","src/frontend/tests/unit","gemini_route:primary"
"PH02-190","P1","2","contract","both","test-integration","合同生命周期接口集成测试","验证合同创建 签署 续签 终止全链路接口行为","合同生命周期集成测试通过","mvn -B -f src/backend/pom.xml verify -Dtest=ContractApiIntegrationTest","PH02-130","1.5","codex","1","c46a2b16f9f72fbce8f366f8aba46080603be92f","已完成","已完成","未开始","已提交","src/backend/src/test/java/com/labor/system/contract/integration","started_at:2026-02-27T06:27:20+08:00;done_at:2026-02-27T06:30:03+08:00;val:mvn-verify-ContractApiIntegrationTest"
"PH02-200","P1","2","contract-rule","both","test-integration","结算规则接口集成测试","验证规则发布 停用 版本查询链路","结算规则集成测试通过","mvn -B -f src/backend/pom.xml verify -Dtest=SettlementRuleApiIntegrationTest","PH02-140","1.5","codex","1","a1f15c3e9ae850832fc8c88fd99745cf0407d911","已完成","已完成","未开始","已提交","src/backend/src/test/java/com/labor/system/contract/integration","started_at:2026-02-27T06:31:20+08:00;done_at:2026-02-27T06:33:01+08:00;val:mvn-verify-SettlementRuleApiIntegrationTest"
