"id","priority","phase","module","area","task_type","title","description","acceptance_criteria","val_command","dependencies","estimated_hours","assigned_agent","attempts","started_at_commit","dev_state","test_state","review_state","git_state","refs","notes"
"PH01-010","P0","1","iam-platform","both","database","IAM/Platform baseline migration","Apply migration for user_account role permission data_scope_policy audit_log","Migration is idempotent and required tables exist","powershell -ExecutionPolicy Bypass -File scripts/validation/PH01-010.ps1","","2","codex","1","aba561eb35e60b8e21d491935328af10cb249027","已完成","已完成","未开始","已提交","src/backend/src/main/resources/db/migration","started_at:2026-02-26T17:43:54+08:00;validation_adjusted:docker-mysql;done_at:2026-02-26T17:50:46+08:00"
"PH01-020","P0","1","iam-platform","both","docs","Sync DB schema doc for IAM/Platform","Update docs/database-schema.md to match V2 migration changes","Doc fields align with migration and local mysql verification","rg -n ""user_account|data_scope_policy|audit_log"" docs/database-schema.md","PH01-010","1","codex","1","3be84142082eb586baaf41cb121518ce8a1d5b74","已完成","已完成","未开始","已提交","docs/database-schema.md","started_at:2026-02-26T18:01:44+08:00;db_target:local_mysql;done_at:2026-02-26T18:02:27+08:00"
"PH01-030","P0","1","iam","backend","backend","实现认证核心接口","实现登录/刷新/当前用户接口与参数校验","登录成功返回 token，失败返回统一错误码","mvn -B -f src/backend/pom.xml test -Dtest=AuthControllerTest","PH01-010","3","codex","1","7ea9928f7308e81ab40d47ea5b0302a66f7ff272","已完成","已完成","未开始","已提交","src/backend/src/main/java","started_at:2026-02-26T18:13:22+08:00;done_at:2026-02-26T18:20:17+08:00;val:mvn-test-AuthControllerTest"
"PH01-040","P1","1","iam","backend","backend","实现 JWT 刷新与失效控制","完善 token 签发 刷新 失效处理与安全过滤链","过期或失效 token 被拒绝，刷新流程可用","mvn -B -f src/backend/pom.xml test -Dtest=JwtTokenServiceTest","PH01-030","2","codex","1","a4f856e81f5f997ee6898bf4769da45346288e5b","已完成","已完成","未开始","已提交","src/backend/src/main/java","started_at:2026-02-26T18:24:44+08:00;done_at:2026-02-26T18:26:57+08:00;val:mvn-test-JwtTokenServiceTest"
"PH01-050","P1","1","iam","backend","test-unit","补充认证服务单元测试","覆盖登录成功失败 刷新 失效分支","AuthService 关键分支覆盖率达标","mvn -B -f src/backend/pom.xml test -Dtest=AuthServiceTest","PH01-030;PH01-040","1.5","codex","1","2a95545de5edab120f5da949783572661de292e6","已完成","已完成","未开始","已提交","src/backend/src/test/java","started_at:2026-02-26T19:04:33+08:00;done_at:2026-02-26T19:05:33+08:00;val:mvn-test-AuthServiceTest"
"PH01-060","P0","1","iam-ui","frontend","frontend","实现登录页与交互","实现登录页面 表单校验 错误提示与提交流程","登录表单可提交并展示后端返回错误","npm --prefix src/frontend run test -- --testPathPattern=login-view","PH01-030","2","gemini","1","cbfa0a591ebc91076a7e089264dc7a2d132e8b67","已完成","已完成","未开始","已提交","src/frontend/src/views","gemini_route:primary;gemini_fallback:codex_timeout;started_at:2026-02-26T19:08:26+08:00;done_at:2026-02-26T19:16:42+08:00;val:npm-login-view"
"PH01-070","P0","1","iam-ui","frontend","frontend","实现 authStore 与路由守卫","实现登录态持久化 鉴权判断 受控路由可见性","未登录访问受控路由会跳转登录","npm --prefix src/frontend run test -- --testPathPattern=router-auth-guard","PH01-060;PH01-040","2","gemini","1","fe4ab3b46767fe498e336f46be8540606256e26d","已完成","已完成","未开始","已提交","src/frontend/src/router;src/frontend/src/store","gemini_route:primary;gemini_fallback:codex_timeout;started_at:2026-02-26T19:19:26+08:00;done_at:2026-02-26T19:22:44+08:00;val:npm-router-auth-guard"
"PH01-080","P1","1","iam-ui","frontend","test-unit","补充登录组件测试","覆盖登录表单校验 提交状态与错误展示","登录组件测试通过并输出覆盖率","npm --prefix src/frontend run test -- --coverage --testPathPattern=login","PH01-060;PH01-070","1","gemini","0","","未开始","未开始","未开始","未提交","src/frontend/src","gemini_unavailable_fallback:codex"
"PH01-090","P0","1","iam","both","test-integration","认证接口集成测试","验证 login refresh me 三个接口联动行为","认证接口联调用例全部通过","mvn -B -f src/backend/pom.xml verify -Dtest=AuthApiIntegrationTest","PH01-030;PH01-040","1.5","codex","1","4b729b9581d9381bee674afc9b2abedf94bffb98","已完成","已完成","未开始","已提交","src/backend/src/test/java","started_at:2026-02-26T19:36:19+08:00;done_at:2026-02-26T19:38:08+08:00;val:mvn-verify-AuthApiIntegrationTest"
"PH01-100","P1","1","iam","both","test-e2e","登录访问受控菜单 E2E","从登录到进入主框架并校验菜单权限","核心用户故事可端到端通过","npx --yes playwright test src/frontend/tests/e2e/login-access.spec.ts","PH01-070;PH01-090","1.5","codex","0","","未开始","未开始","未开始","未提交","src/frontend/tests/e2e",""
"PH01-110","P1","1","iam","both","docs","更新认证 API 合约文档","同步登录 刷新 当前用户接口字段和错误码","文档可覆盖认证接口请求响应","rg -n ""/auth/login|/auth/refresh|/auth/me"" docs/api-contracts.md","PH01-030;PH01-040","1","codex","0","","未开始","未开始","未开始","未提交","docs/api-contracts.md",""
"PH01-120","P0","1","rbac","backend","backend","实现角色权限与数据范围 API","实现 role permission data-scope 策略相关接口","角色授权与策略查询接口可用","mvn -B -f src/backend/pom.xml test -Dtest=RolePermissionControllerTest","PH01-010","3","codex","1","ce56f8fb1abcce766664c0e35bf6b8b62548a2f7","已完成","已完成","未开始","已提交","src/backend/src/main/java","started_at:2026-02-26T19:40:43+08:00;done_at:2026-02-26T19:45:31+08:00;val:mvn-test-RolePermissionControllerTest"
"PH01-130","P0","1","rbac","backend","backend","实现数据权限注入机制","在查询链路按策略注入数据范围过滤","低权限用户无法读取越权数据","mvn -B -f src/backend/pom.xml test -Dtest=DataScopeInterceptorTest","PH01-120","2","codex","1","158109f2de2a6c5620d4f1a50afda972262225ec","已完成","已完成","未开始","已提交","src/backend/src/main/java","started_at:2026-02-26T19:50:15+08:00;done_at:2026-02-26T19:54:27+08:00;val:mvn-test-DataScopeInterceptorTest"
"PH01-140","P1","1","rbac","backend","test-unit","补充数据权限单元测试","覆盖 data-scope 规则匹配与边界条件","数据权限单元测试覆盖核心规则","mvn -B -f src/backend/pom.xml test -Dtest=DataScopeServiceTest","PH01-130","1.5","codex","1","5b88fbcb1fd8356d6aeb99b00521be57d9b9d1b3","已完成","已完成","未开始","已提交","src/backend/src/test/java","started_at:2026-02-26T20:01:52+08:00;done_at:2026-02-26T20:03:16+08:00;val:mvn-test-DataScopeServiceTest"
"PH01-150","P1","1","rbac-ui","frontend","frontend","实现系统菜单与角色页骨架","创建 system 菜单和角色管理页面骨架组件","角色页可访问并显示基础表格结构","npm --prefix src/frontend run test -- --testPathPattern=system-role-shell","PH01-120","2","gemini","0","","未开始","未开始","未开始","未提交","src/frontend/src/views/system","gemini_unavailable_fallback:codex"
"PH01-160","P2","1","rbac-ui","frontend","test-unit","补充角色菜单组件测试","覆盖菜单渲染与权限态展示逻辑","角色菜单组件测试通过","npm --prefix src/frontend run test -- --coverage --testPathPattern=system-menu","PH01-150","1","gemini","0","","未开始","未开始","未开始","未提交","src/frontend/src/components","gemini_unavailable_fallback:codex"
"PH01-170","P1","1","rbac","both","test-integration","RBAC 接口集成测试","验证角色授权与数据范围查询接口","RBAC 关键接口可集成通过","mvn -B -f src/backend/pom.xml verify -Dtest=RbacApiIntegrationTest","PH01-120;PH01-130","1.5","codex","1","8dba010f31202731e2f068ebb00ddff8eda3da3f","已完成","已完成","未开始","已提交","src/backend/src/test/java","started_at:2026-02-26T20:08:55+08:00;done_at:2026-02-26T20:10:10+08:00;val:mvn-verify-RbacApiIntegrationTest"
"PH01-180","P1","1","rbac","both","docs","更新 RBAC API 合约文档","同步角色权限与数据范围接口描述","API 文档包含 RBAC 请求响应示例","rg -n ""/system/roles|/system/permissions|data-scope"" docs/api-contracts.md","PH01-120;PH01-130","1","codex","1","c7203ad3eecf66a59aa4999d9000b6345294b274","已完成","已完成","未开始","已提交","docs/api-contracts.md","started_at:2026-02-26T20:12:01+08:00;done_at:2026-02-26T20:13:15+08:00;val:rg-rbac-api-contracts"
"PH01-190","P0","1","platform","backend","backend","实现审计日志切面与查询 API","实现关键写操作审计记录与分页查询接口","关键写操作可写入审计日志并可查询","mvn -B -f src/backend/pom.xml test -Dtest=AuditLogControllerTest","PH01-010","2.5","codex","1","710238070ec86db366f781f99d73fafdf234d1aa","已完成","已完成","未开始","已提交","src/backend/src/main/java","started_at:2026-02-26T19:56:09+08:00;done_at:2026-02-26T20:00:14+08:00;val:mvn-test-AuditLogControllerTest"
